"時点","地域コード","地域","漁獲量【トン】","注記"
"2005年","16000","富山県","38734",""
"2006年","16000","富山県","39021",""
"2007年","16000","富山県","46054",""
"2008年","16000","富山県","47056",""
"2009年","16000","富山県","48275",""
"2010年","16000","富山県","39559",""
"2011年","16000","富山県","35681",""
"2012年","16000","富山県","41619",""
"2013年","16000","富山県","46016",""
"2014年","16000","富山県","47995",""
"2015年","16000","富山県","44084",""
"2016年","16000","富山県","39828",""
"2017年","16000","富山県","23837",""
"2018年","16000","富山県","41689",""
"2019年","16000","富山県","23413",""
"2020年","16000","富山県","26235",""
"2021年","16000","富山県","23335",""
"1975年","17000","石川県","121607",""
"1976年","17000","石川県","133978",""
"1977年","17000","石川県","133216",""
"1978年","17000","石川県","138939",""
"1979年","17000","石川県","129595",""
"1980年","17000","石川県","142054",""
"1981年","17000","石川県","136081",""
"1982年","17000","石川県","135737",""
"1983年","17000","石川県","159019",""
"1984年","17000","石川県","167063",""
"1985年","17000","石川県","133992",""
"1986年","17000","石川県","150306",""
"1987年","17000","石川県","174784",""
"1988年","17000","石川県","174319",""
"1989年","17000","石川県","220514",""
"1990年","17000","石川県","227049",""
"1991年","17000","石川県","203830",""
"1992年","17000","石川県","172496",""
"1993年","17000","石川県","151947",""
"1994年","17000","石川県","144957",""
"1995年","17000","石川県","111682",""
"1996年","17000","石川県","114156",""
"1997年","17000","石川県","105188",""
"1998年","17000","石川県","81873",""
"1999年","17000","石川県","93420",""
"2000年","17000","石川県","107853",""
"2001年","17000","石川県","82166",""
"2002年","17000","石川県","99166",""
"2003年","17000","石川県","90585",""
"2004年","17000","石川県","82136",""
"2005年","17000","石川県","57746",""
"2006年","17000","石川県","79173",""
"2007年","17000","石川県","62923",""
"2008年","17000","石川県","64908",""
"2009年","17000","石川県","64646",""
"2010年","17000","石川県","66827",""
"2011年","17000","石川県","68239",""
"2012年","17000","石川県","60293",""
"2013年","17000","石川県","73499",""
"2014年","17000","石川県","58960",""
"2015年","17000","石川県","66402",""
"2016年","17000","石川県","58727",""
"2017年","17000","石川県","37486",""
"2018年","17000","石川県","62075",""
"2019年","17000","石川県","39798",""
"2020年","17000","石川県","53243",""
"2021年","17000","石川県","45848",""
"1975年","18000","福井県","44442",""
"1976年","18000","福井県","45236",""
"1977年","18000","福井県","41099",""
"1978年","18000","福井県","34703",""
"1979年","18000","福井県","36225",""
"1980年","18000","福井県","39310",""
"1981年","18000","福井県","32121",""
"1982年","18000","福井県","33168",""
"1983年","18000","福井県","37641",""
"1984年","18000","福井県","34044",""
"1985年","18000","福井県","30326",""
"1986年","18000","福井県","30869",""
"1987年","18000","福井県","26652",""
"1988年","18000","福井県","26324",""
"1989年","18000","福井県","21474",""
"1990年","18000","福井県","22815",""
"1991年","18000","福井県","20946",""
"1992年","18000","福井県","20252",""
"1993年","18000","福井県","23023",""
"1994年","18000","福井県","23360",""
"1995年","18000","福井県","22740",""
"1996年","18000","福井県","19338",""
"1997年","18000","福井県","18874",""
"1998年","18000","福井県","17376",""
"1999年","18000","福井県","18155",""
"2000年","18000","福井県","18155",""
"2001年","18000","福井県","15556",""
"2002年","18000","福井県","14317",""
"2003年","18000","福井県","16848",""
"2004年","18000","福井県","16232",""
"2005年","18000","福井県","12989",""
"2006年","18000","福井県","15505",""
"2007年","18000","福井県","15769",""
"2008年","18000","福井県","-","データが得られないことを示している。"
"2009年","18000","福井県","-","データが得られないことを示している。"
"2010年","18000","福井県","-","データが得られないことを示している。"
"2011年","18000","福井県","-","データが得られないことを示している。"
"2012年","18000","福井県","-","データが得られないことを示している。"
"2013年","18000","福井県","-","データが得られないことを示している。"
"2014年","18000","福井県","-","データが得られないことを示している。"
"2015年","18000","福井県","-","データが得られないことを示している。"
"2016年","18000","福井県","-","データが得られないことを示している。"
"2017年","18000","福井県","-","データが得られないことを示している。"
"2018年","18000","福井県","-","データが得られないことを示している。"
"2019年","18000","福井県","-","データが得られないことを示している。"
"2020年","18000","福井県","12101",""
"2021年","18000","福井県","9439",""
"1975年","19000","山梨県","364",""
"1976年","19000","山梨県","377",""
"1977年","19000","山梨県","441",""
"1978年","19000","山梨県","423",""
"1979年","19000","山梨県","436",""
"1980年","19000","山梨県","477",""
"1981年","19000","山梨県","469",""
"1982年","19000","山梨県","398",""
"1983年","19000","山梨県","332",""
"1984年","19000","山梨県","343",""
"1985年","19000","山梨県","323",""
"1986年","19000","山梨県","295",""
"1987年","19000","山梨県","308",""
"1988年","19000","山梨県","355",""
"1989年","19000","山梨県","355",""
"1990年","19000","山梨県","347",""
"1991年","19000","山梨県","359",""
"1992年","19000","山梨県","341",""
"1993年","19000","山梨県","306",""
"1994年","19000","山梨県","405",""
"1995年","19000","山梨県","387",""
"1996年","19000","山梨県","422",""
"1997年","19000","山梨県","337",""
"1998年","19000","山梨県","355",""
"1999年","19000","山梨県","336",""
"2000年","19000","山梨県","309",""
"2001年","19000","山梨県","249",""
"2002年","19000","山梨県","214",""
"2003年","19000","山梨県","159",""
"2004年","19000","山梨県","102",""
"2005年","19000","山梨県","103",""
"2006年","19000","山梨県","10",""
"2007年","19000","山梨県","10",""
"2008年","19000","山梨県","-","データが得られないことを示している。"
"2009年","19000","山梨県","-","データが得られないことを示している。"
"2010年","19000","山梨県","-","データが得られないことを示している。"
"2011年","19000","山梨県","-","データが得られないことを示している。"
"2012年","19000","山梨県","-","データが得られないことを示している。"
"2013年","19000","山梨県","-","データが得られないことを示している。"
"2014年","19000","山梨県","-","データが得られないことを示している。"
"2015年","19000","山梨県","-","データが得られないことを示している。"
"2016年","19000","山梨県","-","データが得られないことを示している。"
"2017年","19000","山梨県","-","データが得られないことを示している。"
"2018年","19000","山梨県","-","データが得られないことを示している。"
"2019年","19000","山梨県","-","データが得られないことを示している。"
"2020年","19000","山梨県","3",""
"2021年","19000","山梨県","5",""
"1975年","20000","長野県","1974",""
"1976年","20000","長野県","2104",""
"1977年","20000","長野県","2088",""
"1978年","20000","長野県","2155",""
"1979年","20000","長野県","2326",""
"1980年","20000","長野県","2194",""
"1981年","20000","長野県","2182",""
"1982年","20000","長野県","2114",""
"1983年","20000","長野県","1884",""
"1984年","20000","長野県","1603",""
"1985年","20000","長野県","1650",""
"1986年","20000","長野県","1804",""
"1987年","20000","長野県","1790",""
"1988年","20000","長野県","1607",""
"1989年","20000","長野県","1445",""
"1990年","20000","長野県","1454",""
"1991年","20000","長野県","1587",""
"1992年","20000","長野県","1568",""
"1993年","20000","長野県","1323",""
"1994年","20000","長野県","1494",""
"1995年","20000","長野県","1358",""
"1996年","20000","長野県","1453",""
"1997年","20000","長野県","1313",""
"1998年","20000","長野県","1204",""
"1999年","20000","長野県","1020",""
"2000年","20000","長野県","1015",""
"2001年","20000","長野県","927",""
"2002年","20000","長野県","965",""
"2003年","20000","長野県","862",""
"2004年","20000","長野県","672",""
"2005年","20000","長野県","626",""
"2006年","20000","長野県","300",""
"2007年","20000","長野県","249",""
"2008年","20000","長野県","109",""
"2009年","20000","長野県","179",""
"2010年","20000","長野県","159",""
"2011年","20000","長野県","133",""
"2012年","20000","長野県","120",""
"2013年","20000","長野県","165",""
"2014年","20000","長野県","143",""
"2015年","20000","長野県","139",""
"2016年","20000","長野県","156",""
"2017年","20000","長野県","158",""
"2018年","20000","長野県","116",""
"2019年","20000","長野県","86",""
"2020年","20000","長野県","50",""
"2021年","20000","長野県","42",""
"1975年","21000","岐阜県","2630",""
"1976年","21000","岐阜県","2596",""
"1977年","21000","岐阜県","2781",""
"1978年","21000","岐阜県","2812",""
"1979年","21000","岐阜県","3152",""
"1980年","21000","岐阜県","3291",""
"1981年","21000","岐阜県","3341",""
"1982年","21000","岐阜県","3116",""
"1983年","21000","岐阜県","3184",""
"1984年","21000","岐阜県","3255",""
"1985年","21000","岐阜県","3189",""
"1986年","21000","岐阜県","3497",""
"1987年","21000","岐阜県","3557",""
"1988年","21000","岐阜県","3628",""
"1989年","21000","岐阜県","3470",""
"1990年","21000","岐阜県","3448",""
"1991年","21000","岐阜県","3425",""
"1992年","21000","岐阜県","3391",""
"1993年","21000","岐阜県","2582",""
"1994年","21000","岐阜県","2803",""
"1995年","21000","岐阜県","2383",""
"1996年","21000","岐阜県","2322",""
"1997年","21000","岐阜県","2108",""
"1998年","21000","岐阜県","1838",""
"1999年","21000","岐阜県","1691",""
"2000年","21000","岐阜県","1654",""
"2001年","21000","岐阜県","1661",""
"2002年","21000","岐阜県","1365",""
"2003年","21000","岐阜県","1247",""
"2004年","21000","岐阜県","1077",""
"2005年","21000","岐阜県","1016",""
"2006年","21000","岐阜県","295",""
"2007年","21000","岐阜県","382",""
"2008年","21000","岐阜県","571",""
"2009年","21000","岐阜県","583",""
"2010年","21000","岐阜県","417",""
"2011年","21000","岐阜県","353",""
"2012年","21000","岐阜県","338",""
"2013年","21000","岐阜県","353",""
"2014年","21000","岐阜県","318",""
"2015年","21000","岐阜県","292",""
"2016年","21000","岐阜県","312",""
"2017年","21000","岐阜県","264",""
"2018年","21000","岐阜県","191",""
"2019年","21000","岐阜県","250",""
"2020年","21000","岐阜県","217",""
"2021年","21000","岐阜県","271",""
"1975年","22000","静岡県","227867",""
"1976年","22000","静岡県","272980",""
"1977年","22000","静岡県","264927",""
"1978年","22000","静岡県","283261",""
"1979年","22000","静岡県","264076",""
"1980年","22000","静岡県","286164",""
"1981年","22000","静岡県","258538",""
"1982年","22000","静岡県","258369",""
"1983年","22000","静岡県","295266",""
"1984年","22000","静岡県","332975",""
"1985年","22000","静岡県","316898",""
"1986年","22000","静岡県","363546",""
"1987年","22000","静岡県","372853",""
"1988年","22000","静岡県","367705",""
"1989年","22000","静岡県","328861",""
"1990年","22000","静岡県","304782",""
"1991年","22000","静岡県","285495",""
"1992年","22000","静岡県","275657",""
"1993年","22000","静岡県","251019",""
"1994年","22000","静岡県","283385",""
"1995年","22000","静岡県","252130",""
"1996年","22000","静岡県","248761",""
"1997年","22000","静岡県","270255",""
"1998年","22000","静岡県","263562",""
"1999年","22000","静岡県","236825",""
"2000年","22000","静岡県","242383",""
"2001年","22000","静岡県","184931",""
"2002年","22000","静岡県","178466",""
"2003年","22000","静岡県","193105",""
"2004年","22000","静岡県","207223",""
"2005年","22000","静岡県","227597",""
"2006年","22000","静岡県","217710",""
"2007年","22000","静岡県","213496",""
"2008年","22000","静岡県","193915",""
"2009年","22000","静岡県","186536",""
"2010年","22000","静岡県","203929",""
"2011年","22000","静岡県","195871",""
"2012年","22000","静岡県","220070",""
"2013年","22000","静岡県","197201",""
"2014年","22000","静岡県","197138",""
"2015年","22000","静岡県","206657",""
"2016年","22000","静岡県","192130",""
"2017年","22000","静岡県","202235",""
"2018年","22000","静岡県","195331",""
"2019年","22000","静岡県","-","データが得られないことを示している。"
"2020年","22000","静岡県","-","データが得られないことを示している。"
"2021年","22000","静岡県","206869",""
"1975年","23000","愛知県","67530",""
"1976年","23000","愛知県","79717",""
"1977年","23000","愛知県","101131",""
"1978年","23000","愛知県","130831",""
"1979年","23000","愛知県","112128",""
"1980年","23000","愛知県","150158",""
"1981年","23000","愛知県","106843",""
"1982年","23000","愛知県","115125",""
"1983年","23000","愛知県","90691",""
"1984年","23000","愛知県","110334",""
"1985年","23000","愛知県","107296",""
"1986年","23000","愛知県","96240",""
"1987年","23000","愛知県","118590",""
"1988年","23000","愛知県","105257",""
"1989年","23000","愛知県","103677",""
"1990年","23000","愛知県","88372",""
"1991年","23000","愛知県","85476",""
"1992年","23000","愛知県","87986",""
"1993年","23000","愛知県","98211",""
"1994年","23000","愛知県","57433",""
"1995年","23000","愛知県","59938",""
"1996年","23000","愛知県","71455",""
"1997年","23000","愛知県","57355",""
"1998年","23000","愛知県","63574",""
"1999年","23000","愛知県","75836",""
"2000年","23000","愛知県","66371",""
"2001年","23000","愛知県","71044",""
"2002年","23000","愛知県","62710",""
"2003年","23000","愛知県","72062",""
"2004年","23000","愛知県","60050",""
"2005年","23000","愛知県","63062",""
"2006年","23000","愛知県","68621",""
"2007年","23000","愛知県","76433",""
"2008年","23000","愛知県","90373",""
"2009年","23000","愛知県","70256",""
"2010年","23000","愛知県","81102",""
"2011年","23000","愛知県","77524",""
"2012年","23000","愛知県","75204",""
"2013年","23000","愛知県","81341",""
"2014年","23000","愛知県","81141",""
"2015年","23000","愛知県","72109",""
"2016年","23000","愛知県","77758",""
"2017年","23000","愛知県","70005",""
"2018年","23000","愛知県","61792",""
"2019年","23000","愛知県","59970",""
"2020年","23000","愛知県","53477",""
"2021年","23000","愛知県","52836",""
"1975年","24000","三重県","189230",""
"1976年","24000","三重県","227602",""
"1977年","24000","三重県","221236",""
"1978年","24000","三重県","226218",""
"1979年","24000","三重県","202493",""
"1980年","24000","三重県","223208",""
"1981年","24000","三重県","202284",""
"1982年","24000","三重県","233554",""
"1983年","24000","三重県","198692",""
"1984年","24000","三重県","277946",""
"1985年","24000","三重県","249727",""
"1986年","24000","三重県","241722",""
"1987年","24000","三重県","234995",""
"1988年","24000","三重県","214361",""
"1989年","24000","三重県","242006",""
"1990年","24000","三重県","201522",""
"1991年","24000","三重県","201979",""
"1992年","24000","三重県","194631",""
"1993年","24000","三重県","211486",""
"1994年","24000","三重県","178725",""
"1995年","24000","三重県","179112",""
"1996年","24000","三重県","162979",""
"1997年","24000","三重県","178268",""
"1998年","24000","三重県","156266",""
"1999年","24000","三重県","178116",""
"2000年","24000","三重県","164022",""
"2001年","24000","三重県","157637",""
"2002年","24000","三重県","158841",""
"2003年","24000","三重県","167217",""
"2004年","24000","三重県","150782",""
"2005年","24000","三重県","163322",""
"2006年","24000","三重県","188262",""
"2007年","24000","三重県","171292",""
"2008年","24000","三重県","173144",""
"2009年","24000","三重県","165377",""
"2010年","24000","三重県","185637",""
"2011年","24000","三重県","169458",""
"2012年","24000","三重県","182033",""
"2013年","24000","三重県","159730",""
"2014年","24000","三重県","184071",""
"2015年","24000","三重県","153947",""
"2016年","24000","三重県","170571",""
"2017年","24000","三重県","154852",""
"2018年","24000","三重県","132057",""
"2019年","24000","三重県","131104",""
"2020年","24000","三重県","124749",""
"2021年","24000","三重県","107431",""
"1975年","25000","滋賀県","6192",""
"1976年","25000","滋賀県","5687",""
"1977年","25000","滋賀県","5871",""
"1978年","25000","滋賀県","5838",""
"1979年","25000","滋賀県","5641",""
"1980年","25000","滋賀県","5538",""
"1981年","25000","滋賀県","5260",""
"1982年","25000","滋賀県","5422",""
"1983年","25000","滋賀県","5387",""
"1984年","25000","滋賀県","4136",""
"1985年","25000","滋賀県","4180",""
"1986年","25000","滋賀県","5061",""
"1987年","25000","滋賀県","5025",""
"1988年","25000","滋賀県","4588",""
"1989年","25000","滋賀県","5040",""
"1990年","25000","滋賀県","4832",""
"1991年","25000","滋賀県","4795",""
"1992年","25000","滋賀県","3999",""
"1993年","25000","滋賀県","3720",""
"1994年","25000","滋賀県","2697",""
"1995年","25000","滋賀県","2534",""
"1996年","25000","滋賀県","2214",""
"1997年","25000","滋賀県","2843",""
"1998年","25000","滋賀県","2472",""
"1999年","25000","滋賀県","2170",""
"2000年","25000","滋賀県","2249",""
"2001年","25000","滋賀県","2166",""
"2002年","25000","滋賀県","2596",""
"2003年","25000","滋賀県","2474",""
"2004年","25000","滋賀県","2601",""
"2005年","25000","滋賀県","2040",""
"2006年","25000","滋賀県","-","データが得られないことを示している。"
"2007年","25000","滋賀県","-","データが得られないことを示している。"
"2008年","25000","滋賀県","-","データが得られないことを示している。"
"2009年","25000","滋賀県","-","データが得られないことを示している。"
"2010年","25000","滋賀県","-","データが得られないことを示している。"
"2011年","25000","滋賀県","-","データが得られないことを示している。"
"2012年","25000","滋賀県","-","データが得られないことを示している。"
"2013年","25000","滋賀県","-","データが得られないことを示している。"
"2014年","25000","滋賀県","-","データが得られないことを示している。"
"2015年","25000","滋賀県","-","データが得られないことを示している。"
"2016年","25000","滋賀県","-","データが得られないことを示している。"
"2017年","25000","滋賀県","-","データが得られないことを示している。"
"2018年","25000","滋賀県","-","データが得られないことを示している。"
"2019年","25000","滋賀県","-","データが得られないことを示している。"
"2020年","25000","滋賀県","833",""
"2021年","25000","滋賀県","788",""
"1975年","26000","京都府","43037",""
"1976年","26000","京都府","39753",""
"1977年","26000","京都府","44735",""
"1978年","26000","京都府","38892",""
"1979年","26000","京都府","44658",""
"1980年","26000","京都府","47041",""
"1981年","26000","京都府","52054",""
"1982年","26000","京都府","61389",""
"1983年","26000","京都府","85937",""
"1984年","26000","京都府","85969",""
"1985年","26000","京都府","93572",""
"1986年","26000","京都府","88511",""
"1987年","26000","京都府","100129",""
"1988年","26000","京都府","106743",""
"1989年","26000","京都府","94734",""
"1990年","26000","京都府","83680",""
"1991年","26000","京都府","66121",""
"1992年","26000","京都府","56773",""
"1993年","26000","京都府","49317",""
"1994年","26000","京都府","43982",""
"1995年","26000","京都府","31011",""
"1996年","26000","京都府","25756",""
"1997年","26000","京都府","22340",""
"1998年","26000","京都府","19858",""
"1999年","26000","京都府","24078",""
"2000年","26000","京都府","19790",""
"2001年","26000","京都府","14450",""
"2002年","26000","京都府","14247",""
"2003年","26000","京都府","16836",""
"2004年","26000","京都府","15645",""
"2005年","26000","京都府","12661",""
"2006年","26000","京都府","15807",""
"2007年","26000","京都府","13803",""
"2008年","26000","京都府","12662",""
"2009年","26000","京都府","15486",""
"2010年","26000","京都府","11075",""
"2011年","26000","京都府","11065",""
"2012年","26000","京都府","11487",""
"2013年","26000","京都府","11120",""
"2014年","26000","京都府","10756",""
"2015年","26000","京都府","11599",""
"2016年","26000","京都府","10087",""
"2017年","26000","京都府","8688",""
"2018年","26000","京都府","11060",""
"2019年","26000","京都府","8569",""
"2020年","26000","京都府","9726",""
"2021年","26000","京都府","8513",""
"1975年","27000","大阪府","38565",""
"1976年","27000","大阪府","44056",""
"1977年","27000","大阪府","41368",""
"1978年","27000","大阪府","47012",""
"1979年","27000","大阪府","24714",""
"1980年","27000","大阪府","30830",""
"1981年","27000","大阪府","77083",""
"1982年","27000","大阪府","114989",""
"1983年","27000","大阪府","63367",""
"1984年","27000","大阪府","70154",""
"1985年","27000","大阪府","67579",""
"1986年","27000","大阪府","73760",""
"1987年","27000","大阪府","46681",""
"1988年","27000","大阪府","42452",""
"1989年","27000","大阪府","41219",""
"1990年","27000","大阪府","22610",""
"1991年","27000","大阪府","24641",""
"1992年","27000","大阪府","29341",""
"1993年","27000","大阪府","15410",""
"1994年","27000","大阪府","22001",""
"1995年","27000","大阪府","27453",""
"1996年","27000","大阪府","23245",""
"1997年","27000","大阪府","17301",""
"1998年","27000","大阪府","18737",""
"1999年","27000","大阪府","27850",""
"2000年","27000","大阪府","22138",""
"2001年","27000","大阪府","15563",""
"2002年","27000","大阪府","17414",""
"2003年","27000","大阪府","15327",""
"2004年","27000","大阪府","22482",""
"2005年","27000","大阪府","15803",""
"2006年","27000","大阪府","-","データが得られないことを示している。"
"2007年","27000","大阪府","20552",""
"2008年","27000","大阪府","20213",""
"2009年","27000","大阪府","19500",""
"2010年","27000","大阪府","22521",""
"2011年","27000","大阪府","19957",""
"2012年","27000","大阪府","21518",""
"2013年","27000","大阪府","17919",""
"2014年","27000","大阪府","18604",""
"2015年","27000","大阪府","16667",""
"2016年","27000","大阪府","18254",""
"2017年","27000","大阪府","19291",""
"2018年","27000","大阪府","8581",""
"2019年","27000","大阪府","14488",""
"2020年","27000","大阪府","14884",""
"2021年","27000","大阪府","17980",""
"1975年","28000","兵庫県","92813",""
"1976年","28000","兵庫県","113339",""
"1977年","28000","兵庫県","101456",""
"1978年","28000","兵庫県","100911",""
"1979年","28000","兵庫県","102721",""
"1980年","28000","兵庫県","116921",""
"1981年","28000","兵庫県","111542",""
"1982年","28000","兵庫県","102839",""
"1983年","28000","兵庫県","106572",""
"1984年","28000","兵庫県","94529",""
"1985年","28000","兵庫県","106879",""
"1986年","28000","兵庫県","102279",""
"1987年","28000","兵庫県","103570",""
"1988年","28000","兵庫県","88606",""
"1989年","28000","兵庫県","85091",""
"1990年","28000","兵庫県","91425",""
"1991年","28000","兵庫県","98818",""
"1992年","28000","兵庫県","95882",""
"1993年","28000","兵庫県","88129",""
"1994年","28000","兵庫県","88855",""
"1995年","28000","兵庫県","98828",""
"1996年","28000","兵庫県","81837",""
"1997年","28000","兵庫県","71658",""
"1998年","28000","兵庫県","80372",""
"1999年","28000","兵庫県","81226",""
"2000年","28000","兵庫県","66938",""
"2001年","28000","兵庫県","79047",""
"2002年","28000","兵庫県","73012",""
"2003年","28000","兵庫県","81904",""
"2004年","28000","兵庫県","56688",""
"2005年","28000","兵庫県","57081",""
"2006年","28000","兵庫県","63561",""
"2007年","28000","兵庫県","54701",""
"2008年","28000","兵庫県","60401",""
"2009年","28000","兵庫県","-","データが得られないことを示している。"
"2010年","28000","兵庫県","-","データが得られないことを示している。"
"2011年","28000","兵庫県","-","データが得られないことを示している。"
"2012年","28000","兵庫県","-","データが得られないことを示している。"
"2013年","28000","兵庫県","-","データが得られないことを示している。"
"2014年","28000","兵庫県","56594",""
"2015年","28000","兵庫県","54440",""
"2016年","28000","兵庫県","55886",""
"2017年","28000","兵庫県","41053",""
"2018年","28000","兵庫県","-","データが得られないことを示している。"
"2019年","28000","兵庫県","-","データが得られないことを示している。"
"2020年","28000","兵庫県","41598",""
"2021年","28000","兵庫県","48238",""
"1975年","29000","奈良県","455",""
"1976年","29000","奈良県","492",""
"1977年","29000","奈良県","513",""
"1978年","29000","奈良県","518",""
"1979年","29000","奈良県","505",""
"1980年","29000","奈良県","509",""
"1981年","29000","奈良県","452",""
"1982年","29000","奈良県","415",""
"1983年","29000","奈良県","526",""
"1984年","29000","奈良県","528",""
"1985年","29000","奈良県","509",""
"1986年","29000","奈良県","471",""
"1987年","29000","奈良県","517",""
"1988年","29000","奈良県","531",""
"1989年","29000","奈良県","537",""
"1990年","29000","奈良県","520",""
"1991年","29000","奈良県","504",""
"1992年","29000","奈良県","505",""
"1993年","29000","奈良県","367",""
"1994年","29000","奈良県","316",""
"1995年","29000","奈良県","293",""
"1996年","29000","奈良県","315",""
"1997年","29000","奈良県","342",""
"1998年","29000","奈良県","327",""
"1999年","29000","奈良県","328",""
"2000年","29000","奈良県","271",""
"2001年","29000","奈良県","296",""
"2002年","29000","奈良県","227",""
"2003年","29000","奈良県","181",""
"2004年","29000","奈良県","170",""
"2005年","29000","奈良県","160",""
"2006年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2007年","29000","奈良県","-","データが得られないことを示している。"
"2008年","29000","奈良県","-","データが得られないことを示している。"
"2009年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2010年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2011年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2012年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2013年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2014年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2015年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2016年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2017年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2018年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2019年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2020年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"2021年","29000","奈良県","0","データが「０」又は指定した単位に満たないことを示している。"
"1975年","30000","和歌山県","67591",""
"1976年","30000","和歌山県","72276",""
"1977年","30000","和歌山県","71146",""
"1978年","30000","和歌山県","68739",""
"1979年","30000","和歌山県","61859",""
"1980年","30000","和歌山県","69502",""
"1981年","30000","和歌山県","75883",""
"1982年","30000","和歌山県","72795",""
"1983年","30000","和歌山県","68638",""
"1984年","30000","和歌山県","72539",""
"1985年","30000","和歌山県","73121",""
"1986年","30000","和歌山県","81212",""
"1987年","30000","和歌山県","65735",""
"1988年","30000","和歌山県","71834",""
"1989年","30000","和歌山県","68247",""
"1990年","30000","和歌山県","66302",""
"1991年","30000","和歌山県","70060",""
"1992年","30000","和歌山県","62948",""
"1993年","30000","和歌山県","65781",""
"1994年","30000","和歌山県","61890",""
"1995年","30000","和歌山県","66214",""
"1996年","30000","和歌山県","58716",""
"1997年","30000","和歌山県","56188",""
"1998年","30000","和歌山県","55300",""
"1999年","30000","和歌山県","51056",""
"2000年","30000","和歌山県","48700",""
"2001年","30000","和歌山県","42381",""
"2002年","30000","和歌山県","39460",""
"2003年","30000","和歌山県","39527",""
"2004年","30000","和歌山県","33140",""
"2005年","30000","和歌山県","29700",""
"2006年","30000","和歌山県","38812",""
"2007年","30000","和歌山県","34008",""
"2008年","30000","和歌山県","33160",""
"2009年","30000","和歌山県","27331",""
"2010年","30000","和歌山県","28604",""
"2011年","30000","和歌山県","28367",""
"2012年","30000","和歌山県","24902",""
"2013年","30000","和歌山県","23643",""
"2014年","30000","和歌山県","22362",""
"2015年","30000","和歌山県","22908",""
"2016年","30000","和歌山県","22174",""
"2017年","30000","和歌山県","18808",""
"2018年","30000","和歌山県","15206",""
"2019年","30000","和歌山県","13760",""
"2020年","30000","和歌山県","13072",""
"2021年","30000","和歌山県","16766",""
"1975年","31000","鳥取県","156818",""
"1976年","31000","鳥取県","158034",""
"1977年","31000","鳥取県","222034",""
"1978年","31000","鳥取県","170790",""
"1979年","31000","鳥取県","213723",""
"1980年","31000","鳥取県","210096",""
"1981年","31000","鳥取県","228348",""
"1982年","31000","鳥取県","216477",""
"1983年","31000","鳥取県","258206",""
"1984年","31000","鳥取県","326232",""
"1985年","31000","鳥取県","328566",""
"1986年","31000","鳥取県","428750",""
"1987年","31000","鳥取県","432696",""
"1988年","31000","鳥取県","430142",""
"1989年","31000","鳥取県","417614",""
"1990年","31000","鳥取県","344020",""
"1991年","31000","鳥取県","324537",""
"1992年","31000","鳥取県","282581",""
"1993年","31000","鳥取県","376366",""
"1994年","31000","鳥取県","283981",""
"1995年","31000","鳥取県","157325",""
"1996年","31000","鳥取県","159628",""
"1997年","31000","鳥取県","79704",""
"1998年","31000","鳥取県","89782",""
"1999年","31000","鳥取県","77432",""
"2000年","31000","鳥取県","78684",""
"2001年","31000","鳥取県","72713",""
"2002年","31000","鳥取県","57749",""
"2003年","31000","鳥取県","77814",""
"2004年","31000","鳥取県","60460",""
"2005年","31000","鳥取県","59865",""
"2006年","31000","鳥取県","-","データが得られないことを示している。"
"2007年","31000","鳥取県","-","データが得られないことを示している。"
"2008年","31000","鳥取県","-","データが得られないことを示している。"
"2009年","31000","鳥取県","56632",""
"2010年","31000","鳥取県","66150",""
"2011年","31000","鳥取県","62844",""
"2012年","31000","鳥取県","56917",""
"2013年","31000","鳥取県","56469",""
"2014年","31000","鳥取県","67429",""
"2015年","31000","鳥取県","73696",""
"2016年","31000","鳥取県","73015",""
"2017年","31000","鳥取県","74316",""
"2018年","31000","鳥取県","83225",""
"2019年","31000","鳥取県","82279",""
"2020年","31000","鳥取県","91683",""
"2021年","31000","鳥取県","85394",""
"1975年","32000","島根県","220058",""
"1976年","32000","島根県","257914",""
"1977年","32000","島根県","272434",""
"1978年","32000","島根県","216755",""
"1979年","32000","島根県","269332",""
"1980年","32000","島根県","291132",""
"1981年","32000","島根県","299386",""
"1982年","32000","島根県","330441",""
"1983年","32000","島根県","387192",""
"1984年","32000","島根県","435588",""
"1985年","32000","島根県","393455",""
"1986年","32000","島根県","533597",""
"1987年","32000","島根県","501337",""
"1988年","32000","島根県","557776",""
"1989年","32000","島根県","573607",""
"1990年","32000","島根県","383088",""
"1991年","32000","島根県","385042",""
"1992年","32000","島根県","357294",""
"1993年","32000","島根県","370435",""
"1994年","32000","島根県","415848",""
