"時点","地域コード","地域","漁獲量【トン】","注記"
"2015年","03000","岩手県","109722",""
"2016年","03000","岩手県","85820",""
"2017年","03000","岩手県","76509",""
"2018年","03000","岩手県","91032",""
"2019年","03000","岩手県","93098",""
"2020年","03000","岩手県","65919",""
"2021年","03000","岩手県","79832",""
"1975年","04000","宮城県","593283",""
"1976年","04000","宮城県","542719",""
"1977年","04000","宮城県","566451",""
"1978年","04000","宮城県","571770",""
"1979年","04000","宮城県","497024",""
"1980年","04000","宮城県","567633",""
"1981年","04000","宮城県","542528",""
"1982年","04000","宮城県","569063",""
"1983年","04000","宮城県","625647",""
"1984年","04000","宮城県","659099",""
"1985年","04000","宮城県","538549",""
"1986年","04000","宮城県","685199",""
"1987年","04000","宮城県","687539",""
"1988年","04000","宮城県","652649",""
"1989年","04000","宮城県","464953",""
"1990年","04000","宮城県","426446",""
"1991年","04000","宮城県","394101",""
"1992年","04000","宮城県","408224",""
"1993年","04000","宮城県","341553",""
"1994年","04000","宮城県","312765",""
"1995年","04000","宮城県","308411",""
"1996年","04000","宮城県","300856",""
"1997年","04000","宮城県","343096",""
"1998年","04000","宮城県","308808",""
"1999年","04000","宮城県","283671",""
"2000年","04000","宮城県","296820",""
"2001年","04000","宮城県","303365",""
"2002年","04000","宮城県","271992",""
"2003年","04000","宮城県","259828",""
"2004年","04000","宮城県","259255",""
"2005年","04000","宮城県","279445",""
"2006年","04000","宮城県","281397",""
"2007年","04000","宮城県","266602",""
"2008年","04000","宮城県","260419",""
"2009年","04000","宮城県","233522",""
"2010年","04000","宮城県","225284",""
"2011年","04000","宮城県","129983",""
"2012年","04000","宮城県","153394",""
"2013年","04000","宮城県","185584",""
"2014年","04000","宮城県","177967",""
"2015年","04000","宮城県","165729",""
"2016年","04000","宮城県","163571",""
"2017年","04000","宮城県","158734",""
"2018年","04000","宮城県","187972",""
"2019年","04000","宮城県","195601",""
"2020年","04000","宮城県","166417",""
"2021年","04000","宮城県","184415",""
"1975年","05000","秋田県","35391",""
"1976年","05000","秋田県","28987",""
"1977年","05000","秋田県","29633",""
"1978年","05000","秋田県","23170",""
"1979年","05000","秋田県","19953",""
"1980年","05000","秋田県","22206",""
"1981年","05000","秋田県","20187",""
"1982年","05000","秋田県","23410",""
"1983年","05000","秋田県","17025",""
"1984年","05000","秋田県","16421",""
"1985年","05000","秋田県","15292",""
"1986年","05000","秋田県","14987",""
"1987年","05000","秋田県","16545",""
"1988年","05000","秋田県","15159",""
"1989年","05000","秋田県","18045",""
"1990年","05000","秋田県","27974",""
"1991年","05000","秋田県","22900",""
"1992年","05000","秋田県","17941",""
"1993年","05000","秋田県","14213",""
"1994年","05000","秋田県","11236",""
"1995年","05000","秋田県","9963",""
"1996年","05000","秋田県","10283",""
"1997年","05000","秋田県","10116",""
"1998年","05000","秋田県","10456",""
"1999年","05000","秋田県","10534",""
"2000年","05000","秋田県","9488",""
"2001年","05000","秋田県","10391",""
"2002年","05000","秋田県","11048",""
"2003年","05000","秋田県","11143",""
"2004年","05000","秋田県","11222",""
"2005年","05000","秋田県","11277",""
"2006年","05000","秋田県","10533",""
"2007年","05000","秋田県","10189",""
"2008年","05000","秋田県","12248",""
"2009年","05000","秋田県","11837",""
"2010年","05000","秋田県","9859",""
"2011年","05000","秋田県","9777",""
"2012年","05000","秋田県","7826",""
"2013年","05000","秋田県","7999",""
"2014年","05000","秋田県","7509",""
"2015年","05000","秋田県","8264",""
"2016年","05000","秋田県","7020",""
"2017年","05000","秋田県","6198",""
"2018年","05000","秋田県","6452",""
"2019年","05000","秋田県","5821",""
"2020年","05000","秋田県","6223",""
"2021年","05000","秋田県","5937",""
"1975年","06000","山形県","22761",""
"1976年","06000","山形県","19580",""
"1977年","06000","山形県","17949",""
"1978年","06000","山形県","15440",""
"1979年","06000","山形県","14047",""
"1980年","06000","山形県","14870",""
"1981年","06000","山形県","12555",""
"1982年","06000","山形県","13935",""
"1983年","06000","山形県","12335",""
"1984年","06000","山形県","11291",""
"1985年","06000","山形県","11120",""
"1986年","06000","山形県","10042",""
"1987年","06000","山形県","9123",""
"1988年","06000","山形県","8446",""
"1989年","06000","山形県","11142",""
"1990年","06000","山形県","9946",""
"1991年","06000","山形県","11909",""
"1992年","06000","山形県","9492",""
"1993年","06000","山形県","9676",""
"1994年","06000","山形県","9284",""
"1995年","06000","山形県","8169",""
"1996年","06000","山形県","9592",""
"1997年","06000","山形県","9967",""
"1998年","06000","山形県","7726",""
"1999年","06000","山形県","7583",""
"2000年","06000","山形県","8374",""
"2001年","06000","山形県","7848",""
"2002年","06000","山形県","7746",""
"2003年","06000","山形県","7479",""
"2004年","06000","山形県","8140",""
"2005年","06000","山形県","8370",""
"2006年","06000","山形県","8425",""
"2007年","06000","山形県","7883",""
"2008年","06000","山形県","7913",""
"2009年","06000","山形県","7529",""
"2010年","06000","山形県","7043",""
"2011年","06000","山形県","7483",""
"2012年","06000","山形県","6086",""
"2013年","06000","山形県","6761",""
"2014年","06000","山形県","5947",""
"2015年","06000","山形県","6569",""
"2016年","06000","山形県","5451",""
"2017年","06000","山形県","4712",""
"2018年","06000","山形県","4115",""
"2019年","06000","山形県","3932",""
"2020年","06000","山形県","4847",""
"2021年","06000","山形県","3719",""
"1975年","07000","福島県","256589",""
"1976年","07000","福島県","216946",""
"1977年","07000","福島県","312492",""
"1978年","07000","福島県","350047",""
"1979年","07000","福島県","314842",""
"1980年","07000","福島県","338926",""
"1981年","07000","福島県","388508",""
"1982年","07000","福島県","375923",""
"1983年","07000","福島県","538910",""
"1984年","07000","福島県","579487",""
"1985年","07000","福島県","510766",""
"1986年","07000","福島県","547871",""
"1987年","07000","福島県","584828",""
"1988年","07000","福島県","526935",""
"1989年","07000","福島県","496090",""
"1990年","07000","福島県","417709",""
"1991年","07000","福島県","364159",""
"1992年","07000","福島県","282438",""
"1993年","07000","福島県","231035",""
"1994年","07000","福島県","188140",""
"1995年","07000","福島県","150607",""
"1996年","07000","福島県","146989",""
"1997年","07000","福島県","179106",""
"1998年","07000","福島県","158708",""
"1999年","07000","福島県","123567",""
"2000年","07000","福島県","125607",""
"2001年","07000","福島県","138864",""
"2002年","07000","福島県","94459",""
"2003年","07000","福島県","122919",""
"2004年","07000","福島県","103504",""
"2005年","07000","福島県","106767",""
"2006年","07000","福島県","122470",""
"2007年","07000","福島県","99491",""
"2008年","07000","福島県","101430",""
"2009年","07000","福島県","84697",""
"2010年","07000","福島県","79311",""
"2011年","07000","福島県","49805",""
"2012年","07000","福島県","44793",""
"2013年","07000","福島県","45269",""
"2014年","07000","福島県","59812",""
"2015年","07000","福島県","45502",""
"2016年","07000","福島県","48163",""
"2017年","07000","福島県","52889",""
"2018年","07000","福島県","50080",""
"2019年","07000","福島県","69424",""
"2020年","07000","福島県","71514",""
"2021年","07000","福島県","62664",""
"1975年","08000","茨城県","265920",""
"1976年","08000","茨城県","287650",""
"1977年","08000","茨城県","371014",""
"1978年","08000","茨城県","541728",""
